,,,,,,,,,,,,,,,,,,,,
,Tabla de conversiones,,,Bachelors,,,,,,,,,,,,,,,,
,Estados Unidos,Academy of Art University,Arts,Bachelor of Fine Arts (BFA) in Acting,Acting,San Francisco,"Sep 2025, Feb 2026, Jun 2025",4 años,"$35,112",USD,https://www.academyart.edu/art-degree/acting-bfa/,GSP,,,,,,,,
,Australia,RMIT,Arts,Advanced diploma of Visual Arts,Visual arts,Melbourne,"Semester 1: February
Semester 2: July",2 years full time," $ 38.400,00 ",AUD,https://www.rmit.edu.au/study-with-us/levels-of-study/vocational-study/certificates/certificate-iv-in-photography-and-digital-imaging-c4415,,,,,,,,,
,Australia,La Trobe University,Arts,"Bachelor of Arts
", Visual cultures  ,"Melbourne (Bundoora), Online
","Semester 1 (March 2025), Semester 2 (July 2025)
","3 years full-time
"," $ 34.000,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-arts#/overview?location=BU&studentType=int&year=2025,,,,,,,,,
,Australia,La Trobe University,Arts,"Bachelor of Arts
", Aboriginal studies,"Melbourne (Bundoora), Online
","Semester 1 (March 2025), Semester 2 (July 2025)
","3 years full-time
"," $ 34.000,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-arts#/overview?location=BU&studentType=int&year=2025,,,,,,,,,
,Australia,La Trobe University,Arts,"Bachelor of Arts
","  Crime, justice and legal studies  ","Melbourne (Bundoora), Online
","Semester 1 (March 2025), Semester 2 (July 2025)
","3 years full-time
"," $ 34.000,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-arts#/overview?location=BU&studentType=int&year=2025,,,,,,,,,
,Australia,La Trobe University,Arts,"Bachelor of Arts
",Digital media  ,"Melbourne (Bundoora), Online
","Semester 1 (March 2025), Semester 2 (July 2025)
","3 years full-time
"," $ 34.000,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-arts#/overview?location=BU&studentType=int&year=2025,,,,,,,,,
,Australia,La Trobe University,Arts,"Bachelor of Arts
", English  ,"Melbourne (Bundoora), Online
","Semester 1 (March 2025), Semester 2 (July 2025)
","3 years full-time
"," $ 34.000,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-arts#/overview?location=BU&studentType=int&year=2025,,,,,,,,,
,Australia,La Trobe University,Arts,"Bachelor of Arts
", Environmental humanities  ,"Melbourne (Bundoora), Online
","Semester 1 (March 2025), Semester 2 (July 2025)
","3 years full-time
"," $ 34.000,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-arts#/overview?location=BU&studentType=int&year=2025,,,,,,,,,
,Australia,La Trobe University,Arts,"Bachelor of Arts
",Ethics and social justice  ,"Melbourne (Bundoora), Online
","Semester 1 (March 2025), Semester 2 (July 2025)
","3 years full-time
"," $ 34.000,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-arts#/overview?location=BU&studentType=int&year=2025,,,,,,,,,
,Australia,La Trobe University,Arts,"Bachelor of Arts
", French studies beginners  ,"Melbourne (Bundoora), Online
","Semester 1 (March 2025), Semester 2 (July 2025)
","3 years full-time
"," $ 34.000,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-arts#/overview?location=BU&studentType=int&year=2025,,,,,,,,,
