pais,institucion,area,programa,ubicacion,fechas,duracion,costo,moneda,link
Australia,Deakin University,Design and creative arts,Master of Creative Arts,Melbourne,"Trimester 1: March
Trimester 2: July
Trimester 3: November",2 years full time,39200.0,AUD,https://www.deakin.edu.au/course/master-creative-arts-international
Australia,RMIT,Engineering,Master of Engineering (Aerospace),Melbourne,"Semester 1: February
Semester 2: July",2 years full time,48000.0,AUD,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-engineering-aerospace-mc225
Australia,RMIT,Engineering,Master of Engineering (Civil Engineering),Melbourne,"Semester 1: February
Semester 2: July",2 years full time,48000.0,AUD,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-engineering-civil-engineering-mc257
Australia,RMIT,Engineering,Master of Engineering (Electrical Engineering),Melbourne,"Semester 1: February
Semester 2: July",2 years full time,48000.0,AUD,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-engineering-electrical-engineering-mc235
Australia,RMIT,Engineering,Master of Engineering (Electrical and Electronic Engineering),Melbourne,"Semester 1: February
Semester 2: July",2 years full time,48000.0,AUD,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-engineering-electrical-and-electronic-engineering-mc180
Australia,RMIT,Engineering,Master of Engineering (Environmental Engineering),Melbourne,"Semester 1: February
Semester 2: July",2 years full time,48000.0,AUD,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-engineering-environmental-engineering-mc254
Australia,University of Western Australia,Salud y Ciencias Biomedicas,Master of Health Professions Education (Online),Perth,FEB,2025-05-01 00:00:00,43100.0,AUD,https://www.uwa.edu.au/study/courses/master-of-health-professions-education---coursework-and-dissertation---online#fees-and-scholarships
Australia,University of Western Australia,Salud y Ciencias Biomedicas,Master of Health Professions Education (Thesis and Coursework),Perth,FEB,2,44400.0,AUD,https://www.uwa.edu.au/study/courses/master-of-health-professions-education---thesis-and-coursework#fees-and-scholarships
Australia,Curtin University,Education,Education,Curtin Perth,"February, July",1 years full time,16046.0,AUD,https://www.curtin.edu.au/study/offering/course-pg-master-of-education--mc-educ/
Canada,Lakehead University,Education,Education,"Thunder Bay
Orilla","January, September",2 years full time,166687.0,CAD,https://www.lakeheadu.ca/programs/graduate/programs/masters/education/node/7272
Canada,Lakehead University,Education,English and Cultural Studies,Thunder Bay,"January, September",2 years full time,1586536.0,CAD,https://www.lakeheadu.ca/programs/graduate/programs/masters/english/node/7268
Australia,Deakin University,Education and teaching,Master of Education (Research),"Melbourne
Geelong","Trimester 1: March
Trimester 2: July
Trimester 3: November",2 years full time,37800.0,AUD,https://www.deakin.edu.au/course/master-education-research-international
Australia,Deakin University,Education and teaching,Master of Teaching (Early Childhood),Melbourne,"Trimester 1: March
Trimester 2: July
Trimester 3: November",2 years full time,39200.0,AUD,https://www.deakin.edu.au/course/master-teaching-early-childhood-international
Australia,La Trobe University,Education and Teaching,Master of Education,Melbourne (Bundoora),"Semester 1: March
Semester 2: July",2 years full time,38000.0,AUD,https://www.latrobe.edu.au/courses/master-of-education#/overview?location=BU&studentType=int&year=2024
Australia,La Trobe University,Education and Teaching,Master of Teaching (Primary),Melbourne (Bundoora) Albury-Wodonga Bendigo Mildura Shepparton,"Semester 1: March
Semester 2: July",2 years full time,39000.0,AUD,https://www.latrobe.edu.au/courses/master-of-teaching-primary#/overview?location=BU&studentType=int&year=2024
Australia,La Trobe University,Education and Teaching,Master of Teaching (Secondary),Melbourne (Bundoora) Albury-Wodonga Bendigo Mildura Shepparton Sydney,"Semester 1: March
Semester 2: July",2 years full time,34600.0,AUD,https://www.latrobe.edu.au/courses/master-of-teaching-secondary#/overview?location=BU&studentType=int&year=2024
Australia,RMIT,Engineering,Master of Engineering (International Automotive Engineering),Melbourne,"Semester 1: February
Semester 2: July",2 years full time,48000.0,AUD,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-engineering-international-automotive-engineering-mc230
